parent_metro_region,year,median_sale_price,median_list_price,homes_sold,new_listings,inventory,avg_sale_to_list,sold_above_list
"Tahlequah, OK",2013,102668.75,113950.0,30.25,56.166666666666664,330.8333333333333,0.9448379198031956,0.1357812896018004
"Tahlequah, OK",2014,108612.5,119533.25,32.5,52.75,307.5833333333333,0.947327804951226,0.15769043958938833
"Tahlequah, OK",2015,106466.66666666667,117545.75,32.833333333333336,51.5,282.3333333333333,0.9448731096484154,0.15587736610880704
"Tahlequah, OK",2016,113375.0,125733.25,34.583333333333336,50.416666666666664,266.0833333333333,0.9450252123048698,0.14903433872716892
"Tahlequah, OK",2017,121840.29166666667,136591.66666666666,38.083333333333336,49.083333333333336,235.33333333333334,0.9617527547517918,0.17871385379215313
"Tahlequah, OK",2018,126125.0,139140.0,39.166666666666664,48.5,224.33333333333334,0.9594507412440594,0.1884029476202355
"Tahlequah, OK",2019,131395.83333333334,147087.5,33.166666666666664,45.916666666666664,207.83333333333334,0.9623314387565465,0.18539586789359927
"Tahlequah, OK",2020,154086.08333333334,156946.875,43.833333333333336,44.5,145.08333333333334,0.9686228620442372,0.24889959350720567
"Tahlequah, OK",2021,170412.5,174633.33333333334,43.5,49.333333333333336,81.08333333333333,0.9791353044010388,0.29024669414094123
"Talladega, AL",2012,116025.0,119879.16666666667,29.916666666666668,29.916666666666668,148.5,0.9370801898242284,0.1339441575900107
"Talladega, AL",2013,113320.66666666667,127169.58333333333,31.25,33.583333333333336,165.0,0.9244690753580853,0.10422445576443735
"Talladega, AL",2014,117254.16666666667,130768.91666666667,32.75,40.333333333333336,198.08333333333334,0.9377298231228343,0.13067750994201352
"Talladega, AL",2015,120036.08333333333,131685.08333333334,38.833333333333336,62.583333333333336,323.25,0.9342312876995352,0.1237677138946554
"Talladega, AL",2016,133899.41666666666,137525.0,41.5,61.5,362.75,0.9593597654138363,0.2191663587907897
"Talladega, AL",2017,136564.58333333334,150343.70833333334,41.666666666666664,57.916666666666664,320.8333333333333,0.9496071471410836,0.1699253275323659
"Talladega, AL",2018,139894.375,143283.33333333334,44.083333333333336,59.583333333333336,266.4166666666667,0.9539417581600705,0.21286462695434946
"Talladega, AL",2019,141093.54166666666,156375.83333333334,51.0,69.66666666666667,296.1666666666667,0.9623827530989891,0.18523917410054244
"Talladega, AL",2020,157006.08333333334,160350.0,64.75,67.0,253.33333333333334,0.9689229065340098,0.12659019194772217
"Talladega, AL",2021,172970.0,180822.5,66.08333333333333,71.58333333333333,202.08333333333334,0.9758682776041147,0.2487212288562215
"Tallahassee, FL",2012,140042.5625,150047.39583333334,50.645833333333336,73.9375,416.375,0.9340750211405461,0.10283622962786049
"Tallahassee, FL",2013,147199.46808510637,149563.12765957447,64.0,91.85106382978724,438.4255319148936,0.9452525515869981,0.1134146839226732
"Tallahassee, FL",2014,138942.625,145902.8125,68.16666666666667,96.66666666666667,463.4166666666667,0.9438652964319917,0.12507179294550472
"Tallahassee, FL",2015,142954.3125,148898.125,76.83333333333333,99.5,452.3541666666667,0.953295869362346,0.15203795258125877
"Tallahassee, FL",2016,158543.79166666666,171600.11458333334,83.35416666666667,97.79166666666667,422.4583333333333,0.9626410343182955,0.167689222169602
"Tallahassee, FL",2017,169518.10416666666,182982.02083333334,85.9375,96.8125,362.5208333333333,0.9694415878670234,0.1778360257662622
"Tallahassee, FL",2018,197250.10416666666,194582.38541666666,85.14583333333333,103.77083333333333,356.125,0.9667329873605857,0.20601636378235985
"Tallahassee, FL",2019,214709.375,212179.86458333334,89.91666666666667,105.5,349.75,0.9665234539065839,0.1738901372892525
"Tallahassee, FL",2020,226794.04166666666,228807.29166666666,97.8125,110.66666666666667,323.7291666666667,0.9764898821280609,0.2002782196406461
"Tallahassee, FL",2021,260691.9375,256433.3125,106.85416666666667,115.4375,282.7291666666667,0.9872081590989231,0.2649407755978617
"Tampa, FL",2012,118872.96875,120412.58333333333,727.25,872.7708333333334,4243.958333333333,0.9487102478846486,0.1413624395183324
"Tampa, FL",2013,136404.58333333334,137434.97916666666,815.0416666666666,1015.3333333333334,4165.083333333333,0.961150044324302,0.16890691238754585
"Tampa, FL",2014,145210.40625,147958.125,857.8125,1066.5208333333333,3870.0,0.961176641495849,0.14559619664252613
"Tampa, FL",2015,159200.72916666666,164365.34375,983.8541666666666,1136.1875,3511.5416666666665,0.9675009162707736,0.15919452706453935
"Tampa, FL",2016,181530.19791666666,185300.21875,1012.7083333333334,1171.2916666666667,3247.4375,0.9731589057318679,0.1663490612484736
"Tampa, FL",2017,202208.45833333334,202835.66666666666,1030.25,1163.625,2688.8333333333335,0.9739904715549262,0.15595356938250754
"Tampa, FL",2018,217345.97916666666,215557.36458333334,1034.1666666666667,1226.6666666666667,2790.25,0.9741065872895063,0.15711218369034788
"Tampa, FL",2019,229430.98958333334,229321.13541666666,1082.9375,1210.375,2719.8958333333335,0.9758929573655956,0.15498895611362104
"Tampa, FL",2020,256231.66666666666,253285.61458333334,1091.8125,1141.7916666666667,1858.7083333333333,0.9822913990460225,0.20814992904397034
"Tampa, FL",2021,310088.8229166667,306627.03125,1179.875,1212.9583333333333,985.5208333333334,0.9992827969574706,0.3882302092794776
Tennessee nonmetropolitan area,2012,88486.90047393365,107859.6836734694,9.497630331753555,15.285714285714286,93.91176470588235,0.9067659000699413,0.08498432562973984
Tennessee nonmetropolitan area,2013,86688.22222222222,108375.828125,11.032407407407407,16.223958333333332,95.01507537688443,0.9143423938269919,0.08571579607222067
Tennessee nonmetropolitan area,2014,94270.33251231528,116732.89743589744,11.399014778325123,17.22051282051282,104.42424242424242,0.9169031663435266,0.07985749585250113
Tennessee nonmetropolitan area,2015,106571.77880184332,119640.51190476191,11.903225806451612,21.195238095238096,138.69626168224298,0.9265067074737326,0.11834221543776527
Tennessee nonmetropolitan area,2016,120797.42857142857,137191.7550200803,11.176691729323307,15.27710843373494,83.58867924528302,0.9346185233487878,0.11855577524323332
Tennessee nonmetropolitan area,2017,134998.42579505302,154734.64419475655,12.12720848056537,15.037453183520599,73.32857142857142,0.940951281329535,0.1379776038302442
Tennessee nonmetropolitan area,2018,156897.91485507245,160805.02569169961,12.528985507246377,15.8300395256917,68.48175182481752,0.950504043084047,0.15241629974027052
Tennessee nonmetropolitan area,2019,162532.01459854015,171758.813229572,12.47080291970803,16.19455252918288,68.0989010989011,0.9496851139687986,0.12092389213409029
Tennessee nonmetropolitan area,2020,179622.26394052044,217331.9375,13.981412639405205,15.0390625,52.82156133828996,0.9576649178366158,0.14594445599016798
Tennessee nonmetropolitan area,2021,227641.34242424244,244540.390625,15.3,17.065625,42.2,0.9710628350649884,0.24996474210547698
"Texarkana, TX",2012,123566.66666666667,,1.0,,1.0,0.9421897789226349,0.3333333333333333
"Texarkana, TX",2013,42010.0,32100.0,1.2857142857142858,2.0,2.6666666666666665,0.9819778613199664,0.14285714285714285
"Texarkana, TX",2014,93500.0,,1.0,,,0.9575461120077629,0.5
"Texarkana, TX",2015,185253.5,25700.0,1.0,1.0,1.0,0.9983635446685877,0.5
"Texarkana, TX",2016,95648.4,35000.0,1.2,1.0,1.6666666666666667,1.036395701422033,0.4
"Texarkana, TX",2017,137765.0,138068.75,1.8,2.375,5.8,0.957810016850145,0.175
"Texarkana, TX",2018,136436.53846153847,162920.54347826086,2.5384615384615383,4.434782608695652,15.24,0.9415711548429263,0.1064102564102564
"Texarkana, TX",2019,163642.03703703705,171863.16,5.518518518518518,6.36,27.423076923076923,0.9417315402111285,0.1389637111859334
"Texarkana, TX",2020,171396.7741935484,181651.72413793104,7.258064516129032,10.689655172413794,36.96774193548387,0.9735811487378248,0.16122258776433349
"Texarkana, TX",2021,214573.2142857143,217866.66666666666,4.178571428571429,4.25,14.428571428571429,0.9715017635077265,0.3040532879818594
Texas nonmetropolitan area,2012,141087.56134969325,171995.225,5.58282208588957,11.693333333333333,66.72292993630573,0.9246437335543441,0.08615921830139739
Texas nonmetropolitan area,2013,156998.7299703264,185635.18167202573,6.344213649851632,11.945337620578778,65.47129909365559,0.9268563385203812,0.08617435227252614
Texas nonmetropolitan area,2014,170485.18328445748,212119.93533123028,6.86217008797654,12.041009463722398,63.13905325443787,0.9234117296635956,0.061646379889104916
Texas nonmetropolitan area,2015,176707.9217032967,190562.55092592593,7.291208791208791,13.003086419753087,62.23033707865169,0.9303466027570726,0.06604545482601949
Texas nonmetropolitan area,2016,173232.58519553073,206349.64086687306,8.567039106145252,14.009287925696594,65.52857142857142,0.9291250266142107,0.07610155763196255
Texas nonmetropolitan area,2017,210497.71825396825,244345.88053097346,8.857142857142858,14.47787610619469,63.84782608695652,0.9342694373196948,0.09672815404969741
Texas nonmetropolitan area,2018,191423.96274038462,214551.40288713912,9.079326923076923,13.427821522309712,57.68048780487805,0.9320409213400916,0.08117406469501018
Texas nonmetropolitan area,2019,202702.58937198066,238838.88582677164,9.280193236714975,14.254593175853019,59.541666666666664,0.9404093918104912,0.10317632829513466
Texas nonmetropolitan area,2020,231168.95824175823,232556.99647058823,10.0,13.331764705882353,49.200445434298445,0.9458927185565545,0.10145619102599454
Texas nonmetropolitan area,2021,237912.79596412557,253504.1427444795,13.39760837070254,17.15615141955836,38.59606656580938,0.9574137387195725,0.17739397565387208
"The Dalles, OR",2012,165754.16666666666,185097.91666666666,12.833333333333334,16.333333333333332,105.5,0.9497347630530996,0.1172351405904037
"The Dalles, OR",2013,160866.66666666666,166358.33333333334,16.333333333333332,18.416666666666668,101.66666666666667,0.9510080208794202,0.13428048189203792
"The Dalles, OR",2014,164991.66666666666,180700.0,17.166666666666668,18.25,88.66666666666667,0.9580781339226814,0.16630667449165895
"The Dalles, OR",2015,172208.33333333334,188831.25,21.916666666666668,22.333333333333332,86.0,0.9693919579875114,0.18400903944142433
"The Dalles, OR",2016,204674.33333333334,215720.83333333334,24.666666666666668,22.25,66.33333333333333,0.9788843471222122,0.2524715987536797
