state,year,median_sale_price,median_list_price,homes_sold,new_listings,inventory,avg_sale_to_list,sold_above_list
Nevada,2018,303133.3333,296633.3333,3574.666667,4304.583333,10278,0.988178887,0.262959863
Nevada,2019,319866.6667,310375,3534.083333,4184.166667,11770.75,0.983171124,0.176483465
Nevada,2020,346758.3333,335850,3568.75,3897.333333,8804.416667,0.986800476,0.233294883
Nevada,2021,411533.3333,396008.3333,4041,4205.583333,5557.166667,1.004757846,0.462076499
New Hampshire,2012,200350,198358.3333,1053.416667,1088.166667,5384.5,0.953604626,0.187464138
New Hampshire,2013,213541.6667,212391.6667,1158.583333,1204.25,5444,0.959137611,0.20558019
New Hampshire,2014,222700,222050,1167.916667,1442.166667,6797.416667,0.963651046,0.210031793
New Hampshire,2015,235258.3333,231866.6667,1329.583333,1967.5,9205.166667,0.968252541,0.245221152
New Hampshire,2016,243100,244800,1450.666667,1778.75,7683.166667,0.971667597,0.276242932
New Hampshire,2017,261858.3333,257858.3333,1457.833333,1753.666667,6387.333333,0.979070622,0.313305742
New Hampshire,2018,277533.3333,272716.6667,1455.75,1774.583333,5739.666667,0.979461363,0.333877987
New Hampshire,2019,293308.3333,285933.3333,1458.666667,1699.5,5196.416667,0.981308033,0.34244432
New Hampshire,2020,324333.3333,316650,1528.333333,1589.916667,3514.5,0.99364311,0.444363742
New Hampshire,2021,384150,360608.3333,1445.416667,1455.583333,2368.166667,1.023650731,0.601380338
New Jersey,2012,270558.3333,254225,2259.666667,2490.166667,13842.33333,0.938101561,0.07307558
New Jersey,2013,258166.6667,238775,3388.166667,3969.333333,19399.08333,0.950621114,0.115604321
New Jersey,2014,261658.3333,247616.6667,3399.25,4730.333333,23249.08333,0.954055786,0.119824755
New Jersey,2015,260425,253316.6667,3871.25,5828.083333,27257.75,0.957217879,0.128845589
New Jersey,2016,285508.3333,281116.6667,6480.5,8100.75,34747.66667,0.964432454,0.161446831
